index,SettlementPeriod,Real_Prices,Predictor_1,Predictor_2,Predictor_3,Predictor_4,Predictor_5,Predictor_6,Predictor_7,Predictor_8,Predictor_9,Predictor_10,Predictor_11,Predictor_12
0,12/1/2019 23:00,109.74,60.75,13.4,NULL,25.61,1.612218,NULL,3728.668,0,253.488,4917,65,18
1,12/1/2019 23:30,39.61,44.07,2.251,NULL,25.61,1.612218,54.952,3908.711,0,261.994,5217,90.53,-15
2,12/2/2019 0:00,40.07,49.82,4.575,NULL,24.72,1.584524,54.952,3932.041,0,272.822,5245,90.53,44
3,12/2/2019 0:30,41.38,93.99,13.176,NULL,24.72,1.584524,51.636,4102.111,0,290.474,5346,121,217
4,12/2/2019 1:00,39.55,44.05,19.894,NULL,24.72,1.584524,51.636,4109.311,0,303.94,5463,121,180
5,12/2/2019 1:30,92.04,67.04,24.443,NULL,24.72,1.584524,47.193,4089.311,0,0,4384,115,103
6,12/2/2019 2:00,41.43,54.33,19.359,NULL,24.72,1.584524,47.193,4026.741,0,0,4385,115,96
7,12/2/2019 2:30,41.41,65.66,28.695,NULL,24.72,1.584524,43,4026.741,0,385.165,4408,115,52
8,12/2/2019 3:00,46.51,41.4,28.408,NULL,24.72,1.584524,43,4025.481,0,396.087,4412,115,182
9,12/2/2019 3:30,49.66,48.62,25.289,NULL,24.72,1.584524,42.031,4024.181,0,402.325,4413,117.6,219
10,12/2/2019 4:00,47.71,36.66,17.727,NULL,24.72,1.584524,42.031,4022.701,0,400.829,4439,117.6,244
11,12/2/2019 4:30,42.45,44.82,21.743,NULL,24.72,1.584524,41.54,4018.711,0,400.134,4440,99.18,329
12,12/2/2019 5:00,45.54,35.08,15.753,NULL,24.72,1.584524,41.54,3952.301,0,399.126,4363,99.18,285
13,12/2/2019 5:30,38.16,34.37,15.036,NULL,24.72,1.584524,42.87,3904.281,0,395.315,4332,98,298
14,12/2/2019 6:00,38.11,31.68,4.446,NULL,24.72,1.584524,42.87,3904.351,0,383.848,4360,98,324
15,12/2/2019 6:30,37.32,34.58,-4.21,NULL,24.72,1.584524,41.647,3948.581,0,376.672,4360,110.78,405
16,12/2/2019 7:00,37.02,32.33,-14.087,NULL,24.72,1.584524,41.647,3964.511,0,391.004,4425,110.78,337
17,12/2/2019 7:30,42.54,34.69,-21.73,NULL,24.72,1.584524,44.477,4205.591,0,395.846,4495,153.21,273
18,12/2/2019 8:00,177.48,31.18,-24.579,NULL,24.72,1.584524,44.477,4241.031,0,439.971,4712,153.21,309
19,12/2/2019 8:30,102.32,31.69,-24.798,NULL,24.72,1.584524,54.038,4314.731,0,487.238,4976,170.2,372
20,12/2/2019 9:00,68.63,31.28,-26.257,NULL,24.72,1.584524,54.038,4314.821,0,541.779,5051,170.2,353
21,12/2/2019 9:30,52.52,31.22,-34.014,NULL,24.72,1.584524,55.476,4317.921,0,593.17,6495,143.84,315
22,12/2/2019 10:00,44.19,32.12,-42.449,NULL,24.72,1.584524,55.476,4283.001,0,621.758,6432,143.84,328
23,12/2/2019 10:30,53.92,34.54,-42.257,NULL,24.72,1.584524,55.54,4201.661,0,0,6178,103.33,360
24,12/2/2019 11:00,52.23,38.69,-14.752,NULL,24.72,1.584524,55.54,4043.628,0,0,6035,103.33,418
25,12/2/2019 11:30,101.22,41.04,-2.443,NULL,24.72,1.584524,58.305,3938.931,530,720.574,5854,71.31,565
26,12/2/2019 12:00,70.54,59.45,8.198,NULL,24.72,1.584524,58.305,3840.311,0,757.477,5685,71.31,656
27,12/2/2019 12:30,38.28,44.35,6.264,NULL,24.72,1.584524,59.32,3842.081,0,797.617,5527,61.09,582
28,12/2/2019 13:00,43.77,53.07,18.96,NULL,24.72,1.584524,59.32,3277.411,0,834.662,5247,61.09,652
29,12/2/2019 13:30,39.34,58.75,18.722,NULL,24.72,1.584524,55,3129.331,450,790.837,4932,49.327,707
30,12/2/2019 14:00,35.92,87.12,23.639,NULL,24.72,1.584524,55,2956.181,400,825.643,4689,49.327,691
31,12/2/2019 14:30,61.78,93.99,24.487,NULL,24.72,1.584524,61.505,3166.101,878,845.737,4476,48.19,678
