DeliveryPeriod,EURPrices,WF,DF
12/11/2018 00:00,55.12,2704.95,3501
12/11/2018 01:00,46.46,2694.56,3341
12/11/2018 02:00,45.71,2697.3,3226
12/11/2018 03:00,41.38,2649.02,3157
12/11/2018 04:00,44.37,2583.03,3169
12/11/2018 05:00,47.29,2462.56,3214
12/11/2018 06:00,60.44,2322.51,3499
12/11/2018 07:00,63.979,2173.74,4253
12/11/2018 08:00,67.19,2069.31,4983
12/11/2018 09:00,72.037,1972.48,5073
12/11/2018 10:00,69.097,1948.39,5176
12/11/2018 11:00,67.765,1932.45,5152
12/11/2018 12:00,65.283,1953.42,5256
12/11/2018 13:00,67.212,1970.02,5286
12/11/2018 14:00,68.033,2001.79,5152
12/11/2018 15:00,72.188,2001.78,5237
12/11/2018 16:00,89.41,1994,5336
12/11/2018 17:00,106.64,1966.76,5924
12/11/2018 18:00,89.932,2005.74,6146
12/11/2018 19:00,74.533,2059.28,5771
12/11/2018 20:00,64.163,2112.16,5388
12/11/2018 21:00,64.195,2134.06,5024
12/11/2018 22:00,59.35,2167.89,4504
12/11/2018 23:00,60.11,2360.99,4063
13/11/2018 00:00,60.11,2331.14,3839
13/11/2018 01:00,60.11,2251.42,3523
13/11/2018 02:00,55.023,2196.05,3364
13/11/2018 03:00,51.41,2069.83,3236
13/11/2018 04:00,53.321,1913.62,3210
13/11/2018 05:00,60.98,1748.23,3281
13/11/2018 06:00,64.387,1631.45,3547
13/11/2018 07:00,77.489,1543.96,4248
13/11/2018 08:00,75.702,1586.95,4926
13/11/2018 09:00,73.365,1696.86,5014
13/11/2018 10:00,69.76,1903.34,5113
13/11/2018 11:00,66.432,2128.2,5095
13/11/2018 12:00,66.862,2304.74,5078
13/11/2018 13:00,65.513,2502.14,5106
13/11/2018 14:00,66.421,2719.21,4984
13/11/2018 15:00,69.946,2875.33,5047
13/11/2018 16:00,88.577,3045.53,5205
13/11/2018 17:00,98.959,3222.25,5873
13/11/2018 18:00,79.156,3372.09,6045
13/11/2018 19:00,68.826,3472.29,5777
13/11/2018 20:00,62.81,3539.71,5375
13/11/2018 21:00,57.5,3563.91,5025
13/11/2018 22:00,46.5,3557.69,4610
13/11/2018 23:00,48.01,3417.18,4247
14/11/2018 00:00,35,3353.36,3785
14/11/2018 01:00,6,3286.9,3574
14/11/2018 02:00,1.03,3257.21,3355
14/11/2018 03:00,0,3245.52,3249
14/11/2018 04:00,0,3289.23,3225
14/11/2018 05:00,0,3356.21,3239
14/11/2018 06:00,22.37,3422.76,3571
14/11/2018 07:00,47.18,3451.71,4449
14/11/2018 08:00,61.05,3464.33,5035
14/11/2018 09:00,65.2,3472.48,5126
14/11/2018 10:00,62.224,3451.89,5206
14/11/2018 11:00,61.12,3406.45,5187
14/11/2018 12:00,61.996,3382.68,5176
14/11/2018 13:00,64,3357.49,5200
14/11/2018 14:00,61.12,3343.2,5101
14/11/2018 15:00,70,3306.57,5209
14/11/2018 16:00,80.252,3289.03,5465
14/11/2018 17:00,100.2,3277.6,5981
14/11/2018 18:00,85.17,3288.23,6115
14/11/2018 19:00,74.299,3250.31,5771
14/11/2018 20:00,65.716,3211.25,5449
14/11/2018 21:00,62,3164.62,5145
14/11/2018 22:00,50,3139.29,4646
14/11/2018 23:00,56.86,3152.16,4266
15/11/2018 00:00,48.23,3152.22,3793
15/11/2018 01:00,41.4,3148.32,3523
15/11/2018 02:00,36.1,3167.28,3398
15/11/2018 03:00,20,3170.39,3268
15/11/2018 04:00,0,3182.43,3244
15/11/2018 05:00,0,3187.97,3275
15/11/2018 06:00,41.34,3192.33,3494
15/11/2018 07:00,56.86,3150.52,4260
15/11/2018 08:00,61.724,3043.96,4855
15/11/2018 09:00,66.86,2896.65,4958
15/11/2018 10:00,66.6,2757.8,5034
15/11/2018 11:00,65.562,2607,5015
15/11/2018 12:00,66.046,2484.07,4982
15/11/2018 13:00,66.6,2335.02,5084
15/11/2018 14:00,66.86,2178.79,5030
15/11/2018 15:00,70.554,1938.02,5121
15/11/2018 16:00,87.702,1614.98,5350
15/11/2018 17:00,116.21,1269.77,6041
15/11/2018 18:00,151,997.12,6173
15/11/2018 19:00,120.824,765.9,5865
15/11/2018 20:00,80,601.27,5565
15/11/2018 21:00,74.3,532.92,5215
15/11/2018 22:00,73.642,585.61,4720
15/11/2018 23:00,67.794,730.04,4256
16/11/2018 00:00,70,817.04,3911
16/11/2018 01:00,67.06,911.56,3596
16/11/2018 02:00,62.3,1013.43,3416
16/11/2018 03:00,62.3,1107.47,3316
16/11/2018 04:00,59.824,1233.51,3300
16/11/2018 05:00,62.92,1415.93,3323
16/11/2018 06:00,67.02,1649.28,3565
16/11/2018 07:00,81.306,1801.05,4296
16/11/2018 08:00,83.006,1930.75,5006
16/11/2018 09:00,76.914,2088.7,5120
16/11/2018 10:00,72.359,2252.76,5257
16/11/2018 11:00,68.207,2363.24,5160
16/11/2018 12:00,66.968,2457.37,5203
16/11/2018 13:00,66.64,2489.32,5185
16/11/2018 14:00,66.64,2503.71,5054
16/11/2018 15:00,69.94,2482.47,5085
16/11/2018 16:00,95.548,2487.03,5231
16/11/2018 17:00,100,2506.69,5775
16/11/2018 18:00,84.256,2581.79,5874
16/11/2018 19:00,72,2668.11,5632
16/11/2018 20:00,66,2727.9,5338
16/11/2018 21:00,63.541,2728.09,5014
16/11/2018 22:00,60.022,2746.52,4540
16/11/2018 23:00,63.406,2739.38,4176
17/11/2018 00:00,55,2750.47,3960
17/11/2018 01:00,50.26,2748.48,3601
17/11/2018 02:00,41.97,2759.27,3362
17/11/2018 03:00,41.97,2729.69,3247
17/11/2018 04:00,35.96,2732.58,3204
17/11/2018 05:00,35.05,2726.07,3156
17/11/2018 06:00,42.41,2723.43,3290
17/11/2018 07:00,55,2694.06,3588
17/11/2018 08:00,55,2710.46,3975
17/11/2018 09:00,71.552,2735.55,4372
17/11/2018 10:00,67.667,2769.52,4653
17/11/2018 11:00,62.939,2752.05,4743
17/11/2018 12:00,63.92,2726.52,4762
17/11/2018 13:00,61.699,2673.04,4756
17/11/2018 14:00,61.939,2684.23,4632
17/11/2018 15:00,61.463,2655.34,4634
17/11/2018 16:00,86.07,2594,4728
17/11/2018 17:00,109.107,2524.24,5344
17/11/2018 18:00,99.715,2537.81,5460
17/11/2018 19:00,74.94,2591.46,5180
17/11/2018 20:00,65,2636.45,4876
17/11/2018 21:00,59.77,2627.96,4568
17/11/2018 22:00,56.587,2600.57,4264
17/11/2018 23:00,61.556,2497.64,3965
18/11/2018 00:00,58.858,2559.84,3514
18/11/2018 01:00,55,2563.93,3272
18/11/2018 02:00,50.83,2552.05,3138
18/11/2018 03:00,50.26,2543.21,3084
18/11/2018 04:00,47,2562.09,3035
18/11/2018 05:00,46.937,2540.44,3038
18/11/2018 06:00,50.26,2524.85,3244
18/11/2018 07:00,53.955,2519.04,3748
18/11/2018 08:00,55,2486.39,4195
18/11/2018 09:00,65,2503.29,4394
18/11/2018 10:00,66,2531.09,4512
18/11/2018 11:00,63.61,2499.36,4532
18/11/2018 12:00,67.551,2501.79,4455
18/11/2018 13:00,62.91,2472.19,4551
18/11/2018 14:00,63.91,2430.45,4525
18/11/2018 15:00,62.91,2327.14,4558
18/11/2018 16:00,87.512,2197.53,4694
